Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.948036716989009,None,1,3.9825865190068725,10.948036716989009,None,,,,,,,,,,,,,,,,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
,,,,,,,,,,,14.94955158099765,None,5,16.475241956009995,14.94955158099765,None,,,,,,,,,,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
treadmill,0,0,0,17,,,,,,,,,,,,,32.45071462501073,None,31.465829664986813,32.467494854005054,37.45077058899915,None,None,37.45077058899915,None,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
waterfall,0,1,1,2,,,,,,,,,,,,,43.4341053669923,None,42.451198981987545,43.45105562900426,48.433998285996495,None,None,48.433998285996495,None,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
necklace,0,2,2,3,,,,,,,,,,,,,54.41728925501229,53.43433452601312,53.43433452601312,54.43352200300433,59.41728721599793,53.43433452601312,None,59.41728721599793,53.43433452601312,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
chipmunk,0,3,3,18,,,,,,,,,,,,,65.40167879901128,64.41766493499745,64.41766493499745,65.4185061600001,70.40121859600185,64.41766493499745,None,70.40121859600185,64.41766493499745,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
cheerleader,0,4,4,12,,,,,,,,,,,,,76.38487220800016,75.40024133201223,75.40024133201223,76.40138033399126,81.3845935970021,75.40024133201223,None,81.3845935970021,75.40024133201223,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
microscope,0,5,5,1,,,,,,,,,,,,,87.36809944998822,86.3843091460003,86.3843091460003,87.3845171960129,92.36783755201031,86.3843091460003,None,92.36783755201031,86.3843091460003,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
hummingbird,0,6,6,5,,,,,,,,,,,,,98.36789887401392,97.36669344699476,97.36669344699476,98.36789887401392,103.36790810001548,97.36669344699476,None,103.36790810001548,97.36669344699476,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
ladybug,0,7,7,10,,,,,,,,,,,,,109.35101165500237,119.35063691000687,108.36794101100531,109.36733400999219,114.3834635480016,108.36794101100531,None,114.3834635480016,108.36794101100531,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
mirror,0,8,8,11,,,,,,,,,,,,,120.36745179299032,None,119.3836255389906,120.38458236699807,125.36752576299477,119.3836255389906,None,125.36752576299477,119.3836255389906,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
porcupine,0,9,9,13,,,,,,,,,,,,,131.35075973099447,130.36764135598787,130.36764135598787,131.3674579350045,136.35192473098869,130.36764135598787,None,136.35192473098869,130.36764135598787,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
hair,0,10,10,9,,,,,,,,,,,,,142.3351497759868,141.35122563000186,141.35122563000186,142.35147360299015,147.3352358750126,141.35122563000186,None,147.3352358750126,141.35122563000186,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
snowball,0,11,11,19,,,,,,,,,,,,,153.31837082700804,152.33466461498756,152.33466461498756,153.33519531899947,158.31835185200907,152.33466461498756,None,158.31835185200907,152.33466461498756,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
baby,0,12,12,14,,,,,,,,,,,,,164.30093526799465,163.31816108501516,163.31816108501516,164.31801047499175,169.30165834500804,163.31816108501516,None,169.30165834500804,163.31816108501516,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
knight,0,13,13,4,,,,,,,,,,,,,175.28419169099652,174.30121040399536,174.30121040399536,175.3011960510048,180.2845104720036,174.30121040399536,None,180.2845104720036,174.30121040399536,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
axe,0,14,14,6,,,,,,,,,,,,,186.26756232901243,185.28441540300264,185.28441540300264,186.28442205500323,191.26767687799293,185.28441540300264,None,191.26767687799293,185.28441540300264,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
cabdriver,0,15,15,8,,,,,,,,,,,,,197.28065464599058,196.2803525190102,196.2803525190102,197.28065464599058,202.28018792098737,196.2803525190102,None,202.28018792098737,196.2803525190102,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
leopard,0,16,16,0,,,,,,,,,,,,,208.2639104220143,207.28087248498923,207.28087248498923,208.2802645440097,213.2634105969919,207.28087248498923,None,213.2634105969919,207.28087248498923,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
grandfather,0,17,17,7,,,,,,,,,,,,,219.2516241580015,218.26353067700984,218.26353067700984,219.26846064600977,224.2516683129943,218.26353067700984,None,224.2516683129943,218.26353067700984,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
ketchup,0,18,18,15,,,,,,,,,,,,,230.23500957599026,229.26352558098733,229.26352558098733,230.2685075190093,235.23507174299448,229.26352558098733,None,235.23507174299448,229.26352558098733,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
passport,0,19,19,16,,,,,,,,,,,,,241.23519727401435,240.24631621901062,240.24631621901062,241.25186943198787,246.24651280700346,240.24631621901062,None,246.24651280700346,240.24631621901062,,,subj027,001,2023_Apr_02_1413,item_20(VR),3.2.3,59.89704261483271,
,,,,,,,,,,,,,,,,,,,,,,,,,,251.2464004069916,None,,,,,,,
